start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
11/24/2025,11/24/2025,NEAR-USDT,binance,42740433,4337531,0.000388969,65777.73,56429.5,144010.6,108986.92,237412.55,172023.75
11/25/2025,11/25/2025,NEAR-USDT,binance,33940099,3053763,0.000489082,49655.64,43471.03,106833.21,77187.51,173704.76,118415.97
11/26/2025,11/26/2025,NEAR-USDT,binance,22762242,1820896,0.000351123,73965.49,62265.87,147834.71,103324.96,220439.34,153975.07
11/27/2025,11/27/2025,NEAR-USDT,binance,17964939,1348165,0.000555061,101569.09,76316.3,171077.7,113652.79,250800,161918.39
11/28/2025,11/28/2025,NEAR-USDT,binance,20365187,1983549,0.000541217,60193.82,56955.19,113495.39,90498.12,165464.48,123832.69
11/29/2025,11/29/2025,NEAR-USDT,binance,12137019,1027830,0.000454314,82736.18,85464.18,158207.29,134208.76,228481.73,175410.79
11/30/2025,11/30/2025,NEAR-USDT,binance,13327187,1203317,0.000599912,102001.9,101171.9,189005.43,158842.87,267871.81,206607.13
11/24/2025,11/24/2025,NEAR-USDT,bybit,11232780,1216208,0.000475157,23381.71,16993.2,48404.07,32101.51,83594.4,61546.94
11/25/2025,11/25/2025,NEAR-USDT,bybit,7978280,1295357,0.000446632,16617.95,11914.31,34494.09,22015.32,58076.3,42117.91
11/26/2025,11/26/2025,NEAR-USDT,bybit,5622867,993298,0.000441534,31400.2,22133.77,60383.31,37077.02,99486.64,74349.19
11/27/2025,11/27/2025,NEAR-USDT,bybit,3728032,567766,0.000595331,33101.26,20577.89,49032.51,30049.22,77313.69,54921.67
11/28/2025,11/28/2025,NEAR-USDT,bybit,4494017,488789,0.000594594,26632.47,19268.88,45968.09,30368.69,71401.07,51760.83
11/29/2025,11/29/2025,NEAR-USDT,bybit,2798263,464075,0.000491406,30145.46,22148.31,52658.72,38351.53,80738.16,64497.63
11/30/2025,11/30/2025,NEAR-USDT,bybit,2919465,414492,0.000550174,27872.86,21706.52,49400.81,37263.88,78839.18,64392.87
11/24/2025,11/24/2025,NEAR-USDT,okx,8076207,1109020,0.000323673,27332.74,22430.17,49436.49,38415.55,78574.15,61721.27
11/25/2025,11/25/2025,NEAR-USDT,okx,8091983,1501414,0.000460023,29629.91,24492.42,53712.12,41832.57,85266.03,70402.52
11/26/2025,11/26/2025,NEAR-USDT,okx,4093043,588254,0.000480218,24911.68,17602.34,42219.09,28399.07,67129.18,48289.44
11/27/2025,11/27/2025,NEAR-USDT,okx,5710064,1010920,0.000446051,48857.38,35004.7,69860.54,50294.29,105334.02,77911.73
11/28/2025,11/28/2025,NEAR-USDT,okx,4874440,799518,0.000504025,39723.79,32986.43,61668.35,47363.64,91169.67,69814.96
11/29/2025,11/29/2025,NEAR-USDT,okx,3248422,439723,0.000343755,53175.78,45038.91,81869.19,71129.48,119797.16,103685.32
11/30/2025,11/30/2025,NEAR-USDT,okx,3559465,464333,0.000559405,31452.16,28118.06,48470.28,43274.43,72628.45,62603.69
11/24/2025,11/24/2025,NEAR-USDT,gate,5911197,1142527,0.000451825,18812.75,16726.68,28019.82,25447.07,34743.34,32280.48
11/25/2025,11/25/2025,NEAR-USDT,gate,6671187,1274549,0.000530105,14206.51,14261.37,20656.39,20974.46,26108.1,25939.92
11/26/2025,11/26/2025,NEAR-USDT,gate,3426825,442856,0.00048499,14571.15,17302.83,20828.24,26052.02,27419.2,32378.9
11/27/2025,11/27/2025,NEAR-USDT,gate,1569188,249097,0.00030143,12882.17,12644.54,17957.53,17776.3,22653.87,22566.03
11/28/2025,11/28/2025,NEAR-USDT,gate,1584952,202436,0.000312874,14067.33,13418.92,20146.64,19613.81,24880.64,24747.54
11/29/2025,11/29/2025,NEAR-USDT,gate,1383226,247544,0.000473569,14018.8,14305.89,20547.67,21400.78,26020.35,27283.7
11/30/2025,11/30/2025,NEAR-USDT,gate,1301786,139684,0.000430738,13446.82,14013.19,19120.83,21264.84,24866.04,26943.55
