start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
12/15/2025,12/15/2025,NEAR-USDT,binance,27102592,1408639,0.000303726,55293.63,45126.68,115038.42,80319.72,190639.4,129809.48
12/16/2025,12/16/2025,NEAR-USDT,binance,28381927,3789011,0.00052707,75958.38,60135.3,143784.62,100506.36,228867.75,171329.82
12/17/2025,12/17/2025,NEAR-USDT,binance,28093827,2292465,0.000411484,45280.15,38448.1,93929.36,66034.22,152319.09,106485.33
12/18/2025,12/18/2025,NEAR-USDT,binance,41711919,2804017,0.000490591,46045.49,40215.68,101924.72,73333.4,167423.88,112768.66
12/19/2025,12/19/2025,NEAR-USDT,binance,28554747,3390220,0.000536959,67246.64,52650.37,137206.6,98625.25,220807.42,161222.13
12/20/2025,12/20/2025,NEAR-USDT,binance,10635421,889073,0.000508131,55024.81,50905.88,96641.25,80717.63,142367.07,118184.76
12/21/2025,12/21/2025,NEAR-USDT,binance,15100210,1814166,0.000500853,43804.64,45755.49,91429.8,79938.24,137754.35,114507.69
12/15/2025,12/15/2025,NEAR-USDT,bybit,4998018,626706,0.000446303,19097.14,14871.47,30353.22,21160.59,53128.17,39163.41
12/16/2025,12/16/2025,NEAR-USDT,bybit,5703626,848152,0.000329157,29856.34,23117.2,45022.03,32213.94,78976.89,61857.59
12/17/2025,12/17/2025,NEAR-USDT,bybit,5873399,926808,0.000436905,19069.28,14942.47,31857.12,21476.2,56330.93,40867.78
12/18/2025,12/18/2025,NEAR-USDT,bybit,6807261,1171800,0.000573171,13916.44,12682.47,26135.38,21789.65,38817.79,32321.78
12/19/2025,12/19/2025,NEAR-USDT,bybit,5612556,769090,0.000538859,30421.88,25903.28,33878.63,27978.1,33878.63,27978.1
12/20/2025,12/20/2025,NEAR-USDT,bybit,1822006,296431,0.000391855,36510.71,29560.76,43281.31,32276.05,43281.31,32276.05
12/21/2025,12/21/2025,NEAR-USDT,bybit,2813802,294057,0.000467839,24370.35,17857.26,27492.4,19534.39,27492.4,19534.39
12/15/2025,12/15/2025,NEAR-USDT,okx,5127364,935772,0.000413863,43243.17,34649.87,66459.49,48061.64,105629.1,76463.26
12/16/2025,12/16/2025,NEAR-USDT,okx,4523783,813275,0.000356387,42076.47,31658.15,63549.59,45749.23,101398.37,77518.93
12/17/2025,12/17/2025,NEAR-USDT,okx,3985299,745372,0.000468856,42251.06,32353.55,68758.55,47079.85,111237.28,77818.78
12/18/2025,12/18/2025,NEAR-USDT,okx,5814821,1054160,0.0005392,28531.79,23192.79,50229.75,35106.89,83463.55,59063.78
12/19/2025,12/19/2025,NEAR-USDT,okx,5334024,1000967,0.000300118,34180.13,24333.2,55406.18,37982.03,87520.49,64706.07
12/20/2025,12/20/2025,NEAR-USDT,okx,3000622,513495,0.000347522,47923.89,35687.72,64118.49,50775.83,91523.17,75655.3
12/21/2025,12/21/2025,NEAR-USDT,okx,2520656,317383,0.000573247,24442.3,22683.74,37759.74,33717.35,54296.1,47061.99
12/15/2025,12/15/2025,NEAR-USDT,gate,3086491,499274,0.000384881,11276.29,11333.77,18110.82,18799.92,25369.35,26050.85
12/16/2025,12/16/2025,NEAR-USDT,gate,2364294,351029,0.000463947,7502.42,6666.22,13268.16,12161.82,19263.87,17560.66
12/17/2025,12/17/2025,NEAR-USDT,gate,2319308,305552,0.000362346,9019.77,7113.02,17174.76,13846.22,26215.25,22020.06
12/18/2025,12/18/2025,NEAR-USDT,gate,4653684,663936,0.000486344,7747.14,6599.37,15729.09,13123.78,24030.74,20868.65
12/19/2025,12/19/2025,NEAR-USDT,gate,3379350,440376,0.000505924,8874.05,7248.51,16784.15,13301.72,24300.93,20413.6
12/20/2025,12/20/2025,NEAR-USDT,gate,1256900,199532,0.000466801,13837.47,10963.04,21632.28,18834.66,29361.4,26515.06
12/21/2025,12/21/2025,NEAR-USDT,gate,1822873,184003,0.000322319,10256.27,9175.8,18159.54,16674.08,25114.6,23091.74
