start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
11/17/2025,11/17/2025,NEAR-USDT,binance,54994800,5379333,0.000511326,33502.51,29174.72,54537.8,46430.8,89554.19,73134.73
11/18/2025,11/18/2025,NEAR-USDT,binance,70924719,8575739,0.000419118,62201.53,50606.34,135204.59,95615.26,206995.01,144477.77
11/19/2025,11/19/2025,NEAR-USDT,binance,60383827,7216215,0.000374161,38686.45,33293.98,79145.91,59300.95,128864.15,91589.74
11/20/2025,11/20/2025,NEAR-USDT,binance,73950713,10537967,0.000380869,52401.89,44152.96,104452.33,72374.71,169713.9,110871.62
11/21/2025,11/21/2025,NEAR-USDT,binance,75624405,6170255,0.00038645,49731.1,47064.73,110483.61,90143.16,190132.4,143022.93
11/22/2025,11/22/2025,NEAR-USDT,binance,30078340,4079924,0.000410266,35761.27,34025.38,82459.59,63012.18,135017.33,98010.53
11/23/2025,11/23/2025,NEAR-USDT,binance,23989153,1301727,0.000451671,44325.59,45300.61,94111.05,82248.93,146648.37,123194.38
11/17/2025,11/17/2025,NEAR-USDT,bybit,12100392,2048425,0.000575892,19011.67,10609.79,34488.01,17939.01,56182.48,33050.17
11/18/2025,11/18/2025,NEAR-USDT,bybit,11248436,1663524,0.000481571,15003.09,8307.63,28996.24,17857.73,49381.05,34952
11/19/2025,11/19/2025,NEAR-USDT,bybit,14110506,2312221,0.000486141,16814.06,9744.98,31620.68,18752.6,55262.44,37206.43
11/20/2025,11/20/2025,NEAR-USDT,bybit,16319947,1981102,0.000359166,33205.92,21613.87,58197.52,36225.62,97999.35,66646.07
11/21/2025,11/21/2025,NEAR-USDT,bybit,16346352,2953975,0.000363513,26728.87,17468.22,50830.48,31774.87,83757.7,57085.89
11/22/2025,11/22/2025,NEAR-USDT,bybit,6081949,628280,0.0003883,18588.35,12744.11,35362.7,25242.08,54297.31,41154.8
11/23/2025,11/23/2025,NEAR-USDT,bybit,5360200,1057967,0.000558061,22483.51,16001.79,45222.26,32828.08,75639.34,61518.32
11/17/2025,11/17/2025,NEAR-USDT,okx,10373894,1898516,0.000365167,32424.89,25368.02,60876.33,41735.28,97267.34,69946.8
11/18/2025,11/18/2025,NEAR-USDT,okx,10515692,1510246,0.000568115,40223.41,27251.4,71636.78,50716.71,108982.32,84137.47
11/19/2025,11/19/2025,NEAR-USDT,okx,11647849,1402349,0.000522384,24541.62,18749.93,44745.63,32138.72,72306.44,54138.78
11/20/2025,11/20/2025,NEAR-USDT,okx,13803968,1855527,0.000556969,46509.67,36277.98,81466.53,58478.1,131332.04,98211.77
11/21/2025,11/21/2025,NEAR-USDT,okx,16933276,2633958,0.000362299,29904.22,25035.49,57543.67,44466.36,93541.71,70553.72
11/22/2025,11/22/2025,NEAR-USDT,okx,4360411,737558,0.000451958,26862.15,24083.77,47839.74,42415.47,78441.32,65034.77
11/23/2025,11/23/2025,NEAR-USDT,okx,5676270,1091507,0.000480668,28837.91,25255.61,50699.87,44516.58,80898.17,69352.59
11/17/2025,11/17/2025,NEAR-USDT,gate,8007392,930829,0.000586774,10242.01,11241.1,14757.77,18691.3,18313.68,24446.22
11/18/2025,11/18/2025,NEAR-USDT,gate,6830752,771841,0.000443732,15097.42,15323.22,22756.48,25514.23,29839.24,34587.33
11/19/2025,11/19/2025,NEAR-USDT,gate,8700749,1507971,0.000584506,13973.63,12594.19,21828.14,20625.62,28906.63,27590.37
11/20/2025,11/20/2025,NEAR-USDT,gate,8043696,1382714,0.000506521,16358.37,15273.06,25040.99,24800.94,33375.91,32527.29
11/21/2025,11/21/2025,NEAR-USDT,gate,8541042,974974,0.000480604,11632.89,10743.53,17657.21,16411.83,22635.18,21194.89
11/22/2025,11/22/2025,NEAR-USDT,gate,4430483,714140,0.000364343,16151.42,14028.37,23942.52,21380.85,31058.21,28729.43
11/23/2025,11/23/2025,NEAR-USDT,gate,3823611,480748,0.00057814,18955.16,15732.46,28260.85,24654.03,36286.98,33154.29
