start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
01/19/2026,01/19/2026,NEAR-USDT,binance,46350260,5580730,0.000583467,68434.21,59744.15,153489.74,113220.94,222006.38,164397.87
01/20/2026,01/20/2026,NEAR-USDT,binance,27131661,3673598,0.000318882,60394.52,51923.62,129127.75,91588.67,193526.62,140439.88
01/21/2026,01/21/2026,NEAR-USDT,binance,23194137,2635058,0.000414349,44270.37,36316.24,96383.28,65376.71,151960.39,102936.6
01/22/2026,01/22/2026,NEAR-USDT,binance,12888472,1853276,0.000326913,53597.03,40507.17,109685.31,66082.73,163225.17,106381.25
01/23/2026,01/23/2026,NEAR-USDT,binance,11434810,1681312,0.000438164,56123.22,43508.69,113573.84,73803.93,170558.41,115615.02
01/24/2026,01/24/2026,NEAR-USDT,binance,5195851,677936,0.000313974,81475.93,81819.49,159353.5,128596.5,221007.69,176400.01
01/25/2026,01/25/2026,NEAR-USDT,binance,14150444,799831,0.00056191,55968.27,55688.35,133462.36,104177.22,196314.53,147623.28
01/19/2026,01/19/2026,NEAR-USDT,bybit,12502136,1536881,0.000542867,24382.61,22027.38,42288.47,36460.08,70725.67,62861.34
01/20/2026,01/20/2026,NEAR-USDT,bybit,5300243,774238,0.000352304,16940.46,14548.83,29149.31,22086.07,52146.24,42458.35
01/21/2026,01/21/2026,NEAR-USDT,bybit,5287547,979573,0.000426816,29628.16,24952.17,48615.24,37275.86,86353.09,68221.14
01/22/2026,01/22/2026,NEAR-USDT,bybit,3708587,646676,0.000517543,22576.68,18137.65,34018.47,25667.34,57508.72,46614.28
01/23/2026,01/23/2026,NEAR-USDT,bybit,4315428,707944,0.000427478,23533.19,20317.81,35401.6,27306.19,57719.84,48393.13
01/24/2026,01/24/2026,NEAR-USDT,bybit,2445988,337242,0.000589729,25264.82,24148.91,35694.33,32556.78,56366.84,53120.62
01/25/2026,01/25/2026,NEAR-USDT,bybit,5836195,905544,0.000433412,22091.86,21864.29,36346.96,33430.5,63947.83,59448.63
01/19/2026,01/19/2026,NEAR-USDT,okx,10016989,1181930,0.000438704,21993.19,18018.63,37436.57,29718.2,60329.74,48375.03
01/20/2026,01/20/2026,NEAR-USDT,okx,2061219,327174,0.000413543,36605.54,30769.66,59377.09,45527.33,101823.14,75686.85
01/21/2026,01/21/2026,NEAR-USDT,okx,3538200,418032,0.000522324,25212.12,18947.52,40580.48,28248.37,69512.01,48870.5
01/22/2026,01/22/2026,NEAR-USDT,okx,2640804,449832,0.000476649,46118.61,32816.86,67627.91,47934.55,108616.48,80369.12
01/23/2026,01/23/2026,NEAR-USDT,okx,1645255,190823,0.00056679,23822.78,16921.64,35227.78,24182.06,57287.9,41908.94
01/24/2026,01/24/2026,NEAR-USDT,okx,601505,103493,0.000311474,49006.15,39169.85,71408.04,59536.35,106866.97,90543.63
01/25/2026,01/25/2026,NEAR-USDT,okx,2575995,511599,0.000471132,21589.93,19144.46,35737.56,31575.2,55946.53,48387.43
01/19/2026,01/19/2026,NEAR-USDT,gate,78925209,10397831,0.000380244,41698.65,32599.41,78469.39,72291.57,100327.89,97530.07
01/20/2026,01/20/2026,NEAR-USDT,gate,58684935,7588384,0.000488246,95014.35,90097.13,186877.79,183059.92,219838.4,239073.21
01/21/2026,01/21/2026,NEAR-USDT,gate,63244086,9926591,0.000352072,70639.64,66639.63,138120.76,133558.16,173211.73,178765.04
01/22/2026,01/22/2026,NEAR-USDT,gate,47455716,8135833,0.000449439,105250.29,99273.73,203438.3,196260.05,237944.72,252621.12
01/23/2026,01/23/2026,NEAR-USDT,gate,36876747,6148812,0.000333695,65699.34,56541.9,125516.21,113451.94,147500.13,145788.84
01/24/2026,01/24/2026,NEAR-USDT,gate,16257095,2084181,0.000364916,108724.66,101173.19,202839.26,190828.69,236436.07,237494.73
01/25/2026,01/25/2026,NEAR-USDT,gate,51088376,7963238,0.00044109,87946.56,85330.06,169078.22,166013,217607.02,226331.28
