start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
10/27/2025,10/27/2025,NEAR-USDT,binance,28632200,1827950,0.000388931,55679.17,45126.55,83728.6,68711.12,119332.18,97837.47
10/28/2025,10/28/2025,NEAR-USDT,binance,29561940,3883373,0.000433659,50287.93,43443.14,73080.25,62412.37,105825.2,88291.83
10/29/2025,10/29/2025,NEAR-USDT,binance,29412010,4247156,0.000456241,40216.83,33578.61,59875.45,50255.41,86315.05,76562.79
10/30/2025,10/30/2025,NEAR-USDT,binance,32624609,3859555,0.000461191,53848.98,48244.21,81888.69,77004.66,114485.84,103457.41
10/31/2025,10/31/2025,NEAR-USDT,binance,20272142,2821305,0.000348413,34310.05,29891.72,49372.34,48700.44,68629.38,66967.85
11/1/2025,11/1/2025,NEAR-USDT,binance,17593344,1942734,0.000584812,50248.31,36656.47,71157.03,58798.12,94137.79,80150.05
11/2/2025,11/2/2025,NEAR-USDT,binance,14552048,809776,0.000351328,43573.28,34571.81,62188.47,54388.68,84513.53,76841.24
10/27/2025,10/27/2025,NEAR-USDT,bybit,5662229,978681,0.000382698,22343.62,12852.89,30573.86,18517.33,43361.7,29795.09
10/28/2025,10/28/2025,NEAR-USDT,bybit,4824356,606477,0.000359531,19209.94,10439.39,26465.09,14607.65,38923.32,24048.69
10/29/2025,10/29/2025,NEAR-USDT,bybit,5923743,811787,0.000551882,27244.09,15359.87,38551.27,21989.98,56887.62,37265.21
10/30/2025,10/30/2025,NEAR-USDT,bybit,8359364,1638708,0.000479551,18948.39,11681.43,28126.15,17184.47,41864.49,28034.55
10/31/2025,10/31/2025,NEAR-USDT,bybit,4302922,755820,0.000362093,25864.88,15886.41,35682.2,22155.88,52273.42,36369.03
11/1/2025,11/1/2025,NEAR-USDT,bybit,3552842,602456,0.00031493,23505.28,16974.71,32163.15,23740.38,45643.31,35400.44
11/2/2025,11/2/2025,NEAR-USDT,bybit,3525770,537093,0.000428063,26094.12,18469.44,35744.98,25875.98,51604.9,38999.66
10/27/2025,10/27/2025,NEAR-USDT,okx,6242410,1189213,0.000484163,64292.83,37713.18,93461.47,53293.07,116964.91,71516.08
10/28/2025,10/28/2025,NEAR-USDT,okx,6183606,776026,0.000482944,65138,34178.25,92797.79,49293.42,117025.4,67107.99
10/29/2025,10/29/2025,NEAR-USDT,okx,5807867,931656,0.000539293,34702.15,17094.99,51852.06,24653.08,67290.9,35292.85
10/30/2025,10/30/2025,NEAR-USDT,okx,7175308,844117,0.000319437,29827.69,17556.23,47738.33,26299.31,62039.6,36631.05
10/31/2025,10/31/2025,NEAR-USDT,okx,5007595,561865,0.000329119,67397.54,36308.96,98406.5,53551.45,123197.38,74135.54
11/1/2025,11/1/2025,NEAR-USDT,okx,4472736,758775,0.000393552,36625.43,22962.32,53350,34255.12,66502.14,44718.89
11/2/2025,11/2/2025,NEAR-USDT,okx,3222120,578608,0.000551674,42439.32,27640.2,60747.61,40589.56,75313.86,52505.24
10/27/2025,10/27/2025,NEAR-USDT,gate,2371456,356735,0.000378743,12048.19,10533.79,19633.65,17750.88,24719.84,23040
10/28/2025,10/28/2025,NEAR-USDT,gate,2826844,394283,0.000463317,12435.39,10398.21,20171.65,17773.56,26437.38,24266.68
10/29/2025,10/29/2025,NEAR-USDT,gate,2391026,275255,0.00059171,8094.95,7402.3,13591.41,13372.83,18104.74,18599.13
10/30/2025,10/30/2025,NEAR-USDT,gate,3789924,388774,0.000535459,6278.26,5860.73,10582.73,10795.34,14291.32,15008.29
10/31/2025,10/31/2025,NEAR-USDT,gate,2319400,286804,0.00042206,10845.58,9087.75,17376.53,15375.73,22668.3,20691.68
11/1/2025,11/1/2025,NEAR-USDT,gate,2011324,358157,0.000401023,9366.85,9075.6,14785.48,14876.8,18690.51,19278.66
11/2/2025,11/2/2025,NEAR-USDT,gate,1579931,219516,0.000347286,11560.14,9431.29,17734.54,15740.58,22088.18,20561.91
