start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
8/11/2025,8/11/2025,NEAR-USDT,binance,38677875,5513172,0.000598833,45140.19,43717.9,69402,63867.18,99651.89,87938.13
8/12/2025,8/12/2025,NEAR-USDT,binance,34683959,3034082,0.000443056,56027.86,55233.36,83496.91,79366.87,111866.07,106516.93
08/13/2025,08/13/2025,NEAR-USDT,binance,51492275,6963646,0.000495502,59840.52,63885.1,92378.1,97665.3,127690.6,143839.13
08/14/2025,08/14/2025,NEAR-USDT,binance,70009174,5160773,0.000525248,69034.42,66554.23,100067.36,93972.41,133906.41,127968.92
08/15/2025,08/15/2025,NEAR-USDT,binance,38898292,5580939,0.00048487,66740.33,84792.67,101349.4,113504.05,145983.81,148407.96
08/16/2025,08/16/2025,NEAR-USDT,binance,20511579,2932252,0.000449949,88861.45,83956.69,121406.3,113165.99,165698.78,154013.37
08/17/2025,08/17/2025,NEAR-USDT,binance,27958911,4153418,0.000448894,74836.01,55773.91,103220.92,80073.81,137370.23,114176.36
8/11/2025,8/11/2025,NEAR-USDT,bybit,9629476,1576023,0.00041873,18132.74,16178.23,26757.64,22789.86,37998.29,27648.95
8/12/2025,8/12/2025,NEAR-USDT,bybit,10025611,1507319,0.000373121,22179.58,20595.23,32499.2,28921.06,48093.46,35664.13
08/13/2025,08/13/2025,NEAR-USDT,bybit,12599454,1505601,0.000349211,18677.64,17301.33,26226.11,24405.75,34848.1,28803.81
08/14/2025,08/14/2025,NEAR-USDT,bybit,18134492,1884276,0.000364636,29548.06,25991.35,42801,37259.03,59160.24,43693.49
08/15/2025,08/15/2025,NEAR-USDT,bybit,9649385,1819095,0.000306254,22782.55,20488.84,33782.11,29406.96,48542.94,34536.94
08/16/2025,08/16/2025,NEAR-USDT,bybit,4537517,801689,0.000331817,23443.41,23909.68,32119.42,31754.53,45630.41,38148.94
08/17/2025,08/17/2025,NEAR-USDT,bybit,11871857,1950581,0.000340712,27590.71,26788.26,37807.46,36131.54,50896.59,42651.56
8/11/2025,8/11/2025,NEAR-USDT,okx,5993350,868451,0.000467559,60018.78,42351.49,78252.28,56301.45,100533.78,76243.06
8/12/2025,8/12/2025,NEAR-USDT,okx,6941850,1126121,0.000348698,43994.96,34579.16,57790.21,44810.43,74489.24,59900.04
08/13/2025,08/13/2025,NEAR-USDT,okx,7981079,1341053,0.000543548,48122.19,46568.6,63541.26,59218.74,84878.29,80585.84
08/14/2025,08/14/2025,NEAR-USDT,okx,12036666,1688193,0.000378491,26260.69,21235.6,35454.9,28739.3,46492.57,39653.17
08/15/2025,08/15/2025,NEAR-USDT,okx,5984674,670747,0.000409206,52378.45,34140.49,70146.64,47006.34,93881.04,67428.32
08/16/2025,08/16/2025,NEAR-USDT,okx,2977304,384187,0.000582656,59026.5,45313.33,77029.63,61154.91,100875.86,83066.55
08/17/2025,08/17/2025,NEAR-USDT,okx,3944903,407380,0.000323227,49855.34,39260.49,65455.13,53736.69,85905.76,73497.94
8/11/2025,8/11/2025,NEAR-USDT,gate,5523226,638036,0.000486703,19239.12,17083.81,28416.3,25446.08,33699.57,29457.86
8/12/2025,8/12/2025,NEAR-USDT,gate,1421374,227390,0.000449166,15017.38,14018.05,21886.99,20508.54,25103.88,23958.02
08/13/2025,08/13/2025,NEAR-USDT,gate,5835468,991775,0.000544859,21531.97,19773.71,29731.88,28053.11,34865.23,33231.17
08/14/2025,08/14/2025,NEAR-USDT,gate,7289874,1040633,0.000304383,13281.32,11110.81,19508.18,16631.17,22660.33,20166.77
08/15/2025,08/15/2025,NEAR-USDT,gate,4778118,534609,0.000372938,17650.66,14942.12,25837.09,22061.32,30298.22,26393.3
08/16/2025,08/16/2025,NEAR-USDT,gate,2371243,399399,0.000533026,19386.88,17582.94,27378.08,24972.22,32203.5,28823.02
08/17/2025,08/17/2025,NEAR-USDT,gate,3585302,536569,0.000555366,16151.4,14995.15,22431.13,21288.65,25518.88,24667.94
