start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
09/29/2025,09/29/2025,NEAR-USDT,binance,38581019,5451762,0.000499177,48773.36,44085.75,79269.91,68537.86,110460.68,105235.29
09/30/2025,09/30/2025,NEAR-USDT,binance,37122451,3778405,0.000532528,39513.62,36924.98,63542.99,56150.67,90533.74,74666.08
10/1/2025,10/1/2025,NEAR-USDT,binance,52673588,4677325,0.000353494,38573.96,32924.56,63453.47,51644.79,86861.15,78015.7
10/2/2025,10/2/2025,NEAR-USDT,binance,58009327,3554005,0.000515017,72845.92,60671.16,109091.97,89939.74,147659.44,136904.06
10/3/2025,10/3/2025,NEAR-USDT,binance,58947228,5932221,0.000417983,55543.44,48698.08,85263.65,73025.96,118717.65,110554.93
10/4/2025,10/4/2025,NEAR-USDT,binance,35152683,5077389,0.000394351,85046.2,70233.69,127621.09,100110.27,181741.57,141088.19
10/5/2025,10/5/2025,NEAR-USDT,binance,62845347,6440988,0.000445649,54298.37,50379.89,88257.79,76871.51,127764.99,113657.12
09/29/2025,09/29/2025,NEAR-USDT,bybit,8145420,1257056,0.0004996,26716.08,22535.31,38393.22,32416.56,43171.16,38356.01
09/30/2025,09/30/2025,NEAR-USDT,bybit,8823799,1112837,0.000331801,25039.05,21060.94,36056.26,28673.66,46054.58,35882.64
10/1/2025,10/1/2025,NEAR-USDT,bybit,10283259,1217929,0.000504486,23315.3,19290.89,34726.41,28423.81,40101.77,33462.05
10/2/2025,10/2/2025,NEAR-USDT,bybit,9944917,1680974,0.000325961,19686.65,16855.86,27790.82,23509.96,31283.11,26747.22
10/3/2025,10/3/2025,NEAR-USDT,bybit,9247640,1135601,0.000483068,20138.01,17009.67,29775.21,24152.69,33972.92,27266.82
10/4/2025,10/4/2025,NEAR-USDT,bybit,5771663,743005,0.000332981,17096.79,14776.42,23745.34,20294.79,26430.45,22380.52
10/5/2025,10/5/2025,NEAR-USDT,bybit,12569695,1620354,0.000408946,29409.37,24888.16,43882.56,36205.41,50220.91,40574.34
09/29/2025,09/29/2025,NEAR-USDT,okx,6417575,939272,0.00032311,44547.61,29605.22,59987.61,41667.45,80469.62,60284.78
09/30/2025,09/30/2025,NEAR-USDT,okx,5951230,781760,0.000344689,45488.34,35975.55,62181.92,47432.69,85970.59,66569.45
10/1/2025,10/1/2025,NEAR-USDT,okx,12073840,1498287,0.000446342,40572.24,36411.6,55187.6,48598.73,74603.98,67501.18
10/2/2025,10/2/2025,NEAR-USDT,okx,8170035,1221331,0.000472766,26448.83,22101.55,36359.91,29864.37,49994.81,43367.8
10/3/2025,10/3/2025,NEAR-USDT,okx,7821193,1387142,0.000320007,29313.5,21617.71,40680.34,30566.03,57407.41,46154.49
10/4/2025,10/4/2025,NEAR-USDT,okx,4932170,560984,0.000362601,43892.01,33910.19,59392.86,48435.13,83425.31,69830
10/5/2025,10/5/2025,NEAR-USDT,okx,10143451,1573069,0.000346539,33262.3,28868.38,45565.93,41243.65,63794.78,58853.53
09/29/2025,09/29/2025,NEAR-USDT,gate,3697473,442698,0.000311862,22415.54,19862.4,32612.95,27938.94,37838.5,32817.61
09/30/2025,09/30/2025,NEAR-USDT,gate,3611493,642942,0.000337061,13787.96,11451.62,19543.75,16364.34,22628.52,18993.49
10/1/2025,10/1/2025,NEAR-USDT,gate,5104565,802946,0.000305185,18550.16,15979.02,26994.79,23494.1,31485.74,28308.64
10/2/2025,10/2/2025,NEAR-USDT,gate,4782487,733061,0.000524858,13988.64,11836.63,20082.36,17425.51,23183.71,20911.44
10/3/2025,10/3/2025,NEAR-USDT,gate,6351713,929773,0.000353686,15324.44,13127.41,22486.51,18792.58,26947.5,22113.13
10/4/2025,10/4/2025,NEAR-USDT,gate,2614270,430987,0.000388853,15966.19,14907.85,22812.22,21837.7,25426.32,25291.49
10/5/2025,10/5/2025,NEAR-USDT,gate,6105911,1163073,0.000486584,18072.47,16521.21,27439.66,25215.42,34635.46,30384.85
