start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
9/1/2025,9/1/2025,NEAR-USDT,binance,31273823,3869720,0.000499329,51453.5,51246.25,74353.53,69634.77,108101.24,92460.35
9/2/2025,9/2/2025,NEAR-USDT,binance,22910590,3269084,0.000440501,48916.46,44945.18,69125.09,63505.19,92518.03,85219.89
9/3/2025,9/3/2025,NEAR-USDT,binance,14803578,987319,0.000537256,43061.7,41747.51,59510.44,59495.13,81830.84,82516.52
9/4/2025,9/4/2025,NEAR-USDT,binance,14423126,1639028,0.000387633,69619.3,65381.11,97151.54,90030.24,131548.42,122591.53
9/5/2025,9/5/2025,NEAR-USDT,binance,28180553,1711335,0.000527004,46784.54,43503.96,65755.68,61164.09,90153.11,85376.66
9/6/2025,9/6/2025,NEAR-USDT,binance,7032479,771929,0.000530546,59051.86,47167.52,83363.78,69186.12,119590.33,99771.49
9/7/2025,9/7/2025,NEAR-USDT,binance,11987800,1755052,0.000378184,72664.69,71974.75,104524.35,103924.84,149638.81,145735.94
9/1/2025,9/1/2025,NEAR-USDT,bybit,5310137,954397,0.000477165,26864.45,25501.07,39456.68,35197.09,77455.82,53456.53
9/2/2025,9/2/2025,NEAR-USDT,bybit,3652616,376983,0.000407814,20361.62,20139.07,30422.02,28159.74,57438.79,42786.66
9/3/2025,9/3/2025,NEAR-USDT,bybit,3381201,461680,0.000543778,16378.49,15062.55,23958.27,21790.25,43698.01,33877.44
9/4/2025,9/4/2025,NEAR-USDT,bybit,2758998,328141,0.000376592,16601.96,15948.43,23957.62,21957.87,45678.37,33440.45
9/5/2025,9/5/2025,NEAR-USDT,bybit,5088735,539278,0.000585201,15565.5,14095.67,23155.82,20719.27,44328.05,33172.56
9/6/2025,9/6/2025,NEAR-USDT,bybit,1746737,313237,0.000304142,22732.03,20517.71,31829.9,28766.61,59781.38,44033.71
9/7/2025,9/7/2025,NEAR-USDT,bybit,3308482,517892,0.000482294,24608.4,23550.61,35014.46,33113.74,65283.9,51501.02
9/1/2025,9/1/2025,NEAR-USDT,okx,4069260,477125,0.000488276,36805.11,31329.48,50105.49,41037.99,67597.87,55783.35
9/2/2025,9/2/2025,NEAR-USDT,okx,1992717,257614,0.000328327,39498.5,31953.9,52825.33,42204.67,70934.47,58573.82
9/3/2025,9/3/2025,NEAR-USDT,okx,1878669,367411,0.000369707,32965.28,27758.47,44564.72,37679.45,60119.72,53537.66
9/4/2025,9/4/2025,NEAR-USDT,okx,1732409,185410,0.000519821,46154.9,38103.24,61743.62,51009.08,82907.64,71342.47
9/5/2025,9/5/2025,NEAR-USDT,okx,2983502,503998,0.00056947,35739.94,28214.36,50971.6,39780.33,70765.58,58131.03
9/6/2025,9/6/2025,NEAR-USDT,okx,2246847,370362,0.000436619,28214.68,24314.08,38265.06,33900.95,52189.56,47237.31
9/7/2025,9/7/2025,NEAR-USDT,okx,3972707,631602,0.000546389,36178.32,28117.23,48008.32,38804,63703.13,55085.46
9/1/2025,9/1/2025,NEAR-USDT,gate,3334243,608148,0.00041567,17755.96,14527.91,25616.52,22435.45,29652.02,25903.05
9/2/2025,9/2/2025,NEAR-USDT,gate,2750463,529097,0.000362472,14531.88,10901.18,21806.78,16120.65,24791.58,17779.59
9/3/2025,9/3/2025,NEAR-USDT,gate,1528357,286613,0.000401424,21242.39,19796.16,31089.38,28694,35554.18,32735.22
9/4/2025,9/4/2025,NEAR-USDT,gate,1571639,294725,0.000466853,16914,14801.98,23430.07,21289.73,25599.88,24517.14
9/5/2025,9/5/2025,NEAR-USDT,gate,3588903,601714,0.000521016,16806.98,13351.42,26021.72,20903.29,30966.38,25559.9
9/6/2025,9/6/2025,NEAR-USDT,gate,1323072,148265,0.000461792,15540.09,12837.08,21764.41,19337.5,25248,22649.6
9/7/2025,9/7/2025,NEAR-USDT,gate,1643621,256310,0.000558399,26828.97,24226.82,37725.46,38106.42,43088.93,46201.39
