start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
12/1/2025,12/1/2025,NEAR-USDT,binance,35466082,4873487,0.000361758,31480.96,27928.51,66211.44,49825.05,104999.26,74123.72
12/2/2025,12/2/2025,NEAR-USDT,binance,33293683,2226605,0.000562136,51778.21,46234.98,101376.34,77626.31,155201.29,113685.6
12/3/2025,12/3/2025,NEAR-USDT,binance,32359516,3703100,0.00044025,57984.36,47273.67,106392.31,76449.91,161746.03,115821.99
12/4/2025,12/4/2025,NEAR-USDT,binance,26447488,2183102,0.000319864,46310.64,37862.35,89875.5,61158.39,135274.87,93385.59
12/5/2025,12/5/2025,NEAR-USDT,binance,28144547,3387709,0.000480856,52704.32,44653.88,102910.61,72941.18,164863.55,113286.8
12/6/2025,12/6/2025,NEAR-USDT,binance,16784157,1843154,0.000581098,79513.59,84044.14,152075.09,134693.65,225929.18,187423.3
12/7/2025,12/7/2025,NEAR-USDT,binance,22928502,2744166,0.000462846,49997.18,47835.63,99412.18,81814.1,153727.93,120722.09
12/1/2025,12/1/2025,NEAR-USDT,bybit,6192468,709667,0.000522703,12162.44,9541.18,25664.75,16248.8,44470.64,30628.51
12/2/2025,12/2/2025,NEAR-USDT,bybit,9364392,1238756,0.000313522,27010.31,19796.27,49330,32087.01,79693.7,56619.66
12/3/2025,12/3/2025,NEAR-USDT,bybit,5508254,913829,0.000479662,28617.52,20642.42,50683.86,33636.27,81817.93,61167.85
12/4/2025,12/4/2025,NEAR-USDT,bybit,5156109,606055,0.00033087,30519.18,23316.91,59301.56,37872.02,96076.1,68789.38
12/5/2025,12/5/2025,NEAR-USDT,bybit,4745619,497168,0.000394788,21062.11,15084.3,40012.37,24261.06,67307.46,44389.97
12/6/2025,12/6/2025,NEAR-USDT,bybit,2600600,318866,0.000578108,23616.03,20803.89,40485.23,31640.12,66139.29,56074.51
12/7/2025,12/7/2025,NEAR-USDT,bybit,3703977,615652,0.00049623,24448.21,21694.73,44246.42,34985.23,71568.33,60214.88
12/1/2025,12/1/2025,NEAR-USDT,okx,6476623,941806,0.000541053,27864.74,21818.65,46803.96,33952.69,71432.21,53297.2
12/2/2025,12/2/2025,NEAR-USDT,okx,7112034,1163385,0.000553775,26277.38,20665.91,42785.7,31220.11,66275.6,48402.08
12/3/2025,12/3/2025,NEAR-USDT,okx,6881574,1245742,0.000457899,46781.77,36414.22,75292.8,56313.18,119828.98,91061.94
12/4/2025,12/4/2025,NEAR-USDT,okx,6009660,675298,0.000426543,45030.34,35032.53,76615.86,53905.26,116935.87,84769.33
12/5/2025,12/5/2025,NEAR-USDT,okx,4626499,761929,0.000410051,27747.04,20803.75,46517.05,31838.54,72798.57,49876.09
12/6/2025,12/6/2025,NEAR-USDT,okx,3751200,654388,0.000444286,27948.28,24258.1,43491.29,37887.94,64894.23,55329.66
12/7/2025,12/7/2025,NEAR-USDT,okx,4720821,633648,0.000310864,39584.61,33640.14,64760.36,55629.25,99917.04,84228.25
12/1/2025,12/1/2025,NEAR-USDT,gate,2779255,355545,0.000531616,8605.82,8552.91,12570.43,13282.81,15549.74,16418.03
12/2/2025,12/2/2025,NEAR-USDT,gate,2667531,284242,0.000500093,17610.67,16291.14,25958.94,24147.85,31360.08,30425.93
12/3/2025,12/3/2025,NEAR-USDT,gate,1889446,282300,0.000370721,15001.04,14236.86,23628.32,23362.54,30909.77,30387.87
12/4/2025,12/4/2025,NEAR-USDT,gate,1545836,255924,0.000385535,12005.32,13810.72,19656.34,22865.94,26730.76,29814.25
12/5/2025,12/5/2025,NEAR-USDT,gate,1806000,292618,0.000387173,9840.26,13658.75,15683,22735.22,22116.94,29674.45
12/6/2025,12/6/2025,NEAR-USDT,gate,972170,113079,0.000549079,7514.71,8920.1,11574.28,14457.38,15820.98,19343.67
12/7/2025,12/7/2025,NEAR-USDT,gate,1744527,278393,0.000530426,9487.82,9591.01,15355.01,16016.88,19564.89,20880.81
