start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
1/12/2026,1/12/2026,NEAR-USDT,binance,29567655,2364543,0.000333879,63181.17,58493.4,145444.3,105086.51,214062.92,155693.41
01/13/2026,01/13/2026,NEAR-USDT,binance,42660241,5843118,0.000498322,62855.49,51099.11,128940.52,92410.69,184652.99,139946.78
01/14/2026,01/14/2026,NEAR-USDT,binance,30760113,3137822,0.000582425,65445.02,59164.82,139243,104897.21,206802.44,159528.41
01/15/2026,01/15/2026,NEAR-USDT,binance,26652782,1472016,0.000475906,92184.02,80006.05,189014.99,131578.28,275071.62,190991.92
01/16/2026,01/16/2026,NEAR-USDT,binance,18648732,1065063,0.000541967,66760.7,56538.5,139318.35,90877.93,203228.9,132051.61
01/17/2026,01/17/2026,NEAR-USDT,binance,18976268,2207620,0.000348609,54759.87,54115.31,108005.74,88969.57,152109.53,126080.59
01/18/2026,01/18/2026,NEAR-USDT,binance,22621076,1616326,0.000323613,50590.52,51333.69,98795.33,79764.25,147585.8,111685.26
1/12/2026,1/12/2026,NEAR-USDT,bybit,6382924,1000941,0.000560778,21840.12,12744.46,38240.71,22589.89,62201.85,44603.72
01/13/2026,01/13/2026,NEAR-USDT,bybit,9661984,1462471,0.00048399,23277.24,21671.73,36563.23,32949.95,60113.8,57602.98
01/14/2026,01/14/2026,NEAR-USDT,bybit,6353743,637637,0.000431597,18000.25,13500.72,30101.62,22098.61,52853.63,42266.65
01/15/2026,01/15/2026,NEAR-USDT,bybit,6345515,696814,0.000557943,32094.75,25737.86,51876.99,39974.39,88212.19,72087.84
01/16/2026,01/16/2026,NEAR-USDT,bybit,4263874,818989,0.000377518,21295.47,17800.37,34291.92,26605.25,59686.49,49478.72
01/17/2026,01/17/2026,NEAR-USDT,bybit,4675284,576513,0.000365705,26237.2,27270.96,41183.34,40167.48,70402.21,68683.77
01/18/2026,01/18/2026,NEAR-USDT,bybit,4750974,576537,0.000317172,18560.16,17570.08,27831.85,25636.42,47248.14,44486.6
1/12/2026,1/12/2026,NEAR-USDT,okx,4545211,556909,0.00052526,23480.8,19741.22,38897.87,30172.48,62136.78,48359.48
01/13/2026,01/13/2026,NEAR-USDT,okx,6209327,982832,0.000345428,35362.16,24670.29,58652.54,39831.46,94770.64,69891.77
01/14/2026,01/14/2026,NEAR-USDT,okx,4058362,530288,0.000599569,30573.56,23277.91,50645.97,36871.27,83177.38,63982.05
01/15/2026,01/15/2026,NEAR-USDT,okx,2917206,546689,0.00040795,35987.02,28223.66,58528.45,43574.77,95933.7,72411.56
01/16/2026,01/16/2026,NEAR-USDT,okx,1955219,283128,0.000493368,26579.04,21485.25,42291.08,31898.82,69081.47,52612.28
01/17/2026,01/17/2026,NEAR-USDT,okx,2040853,392536,0.000370508,37724,35612.86,61055.31,56841.35,97413.16,90606.69
01/18/2026,01/18/2026,NEAR-USDT,okx,2521480,454903,0.000302292,27174.38,26207.78,43919.83,40344.72,73315.01,66006.6
1/12/2026,1/12/2026,NEAR-USDT,gate,50701178,6532501,0.000505316,73563.84,75142.04,156303.03,160838.75,218791.45,228247.7
01/13/2026,01/13/2026,NEAR-USDT,gate,79933077,14308279,0.000383939,94828.16,92579.66,185975.93,184048.38,214756.57,227140.14
01/14/2026,01/14/2026,NEAR-USDT,gate,65802313,6968019,0.000378223,92889.65,97213.04,176671.91,191365.56,198353.8,221969.68
01/15/2026,01/15/2026,NEAR-USDT,gate,63088607,7680973,0.00032441,76402.27,85357.62,141187.22,157087.77,163714.6,198330.02
01/16/2026,01/16/2026,NEAR-USDT,gate,39967552,5334836,0.000565472,55211.98,64001.18,96369.83,119744.62,109355.07,143545.71
01/17/2026,01/17/2026,NEAR-USDT,gate,30683864,3900943,0.000594831,91075.65,95928.37,160736.04,176982.45,178273.7,203513.6
01/18/2026,01/18/2026,NEAR-USDT,gate,42460589,5839056,0.000400227,74484.21,87852.58,123900.33,164058.7,135821.22,198238.36
