start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
10/13/2025,10/13/2025,NEAR-USDT,binance,70732854,6460515,0.00030569,45223.97,37614.03,72277.93,66498.35,99060.56,95672.64
10/14/2025,10/14/2025,NEAR-USDT,binance,65537717,7242004,0.000590931,54922.7,49296.2,96906.88,83910.08,140208.87,118951.8
10/15/2025,10/15/2025,NEAR-USDT,binance,42159953,2611804,0.000491325,44508.62,35763.6,74286.71,62153.77,103959.88,86686.85
10/16/2025,10/16/2025,NEAR-USDT,binance,38975935,3544518,0.00035318,54987.77,45992.5,78320.27,65815.33,111020.29,90430.18
10/17/2025,10/17/2025,NEAR-USDT,binance,45593983,3028762,0.000356766,46983.98,43304.55,72444.44,65917.25,99425.63,90954.11
10/18/2025,10/18/2025,NEAR-USDT,binance,16812925,2390766,0.000533711,34591.11,25378.42,50922.71,37399.76,73011.14,55170.15
10/19/2025,10/19/2025,NEAR-USDT,binance,28095175,2615718,0.000306417,63189.41,50526.32,96294.44,79910.67,134276.25,110331.92
10/13/2025,10/13/2025,NEAR-USDT,bybit,17686484,2636299,0.000491903,13912.8,13368.07,22170.21,20366.06,33662.05,31062.3
10/14/2025,10/14/2025,NEAR-USDT,bybit,12083877,1604647,0.000489126,13638.05,11960.13,23171.19,17755.2,36714.39,28723.02
10/15/2025,10/15/2025,NEAR-USDT,bybit,12812868,2379173,0.000388729,16908.73,12959.65,27643.76,18578.85,41489.42,29799.47
10/16/2025,10/16/2025,NEAR-USDT,bybit,10328983,1729590,0.000417271,19854.73,15073.52,31104.15,21221.71,46955.73,33613.77
10/17/2025,10/17/2025,NEAR-USDT,bybit,10096884,1672369,0.000341897,15013.23,10812.35,23948.66,16627.15,34927.59,26049.29
10/18/2025,10/18/2025,NEAR-USDT,bybit,3695135,632932,0.000349723,18113.4,13317.29,25304.26,19358.4,35915.26,29169.27
10/19/2025,10/19/2025,NEAR-USDT,bybit,6979761,1303547,0.000316788,31658.61,21827.2,45266.7,32443.53,63229.16,48128.14
10/13/2025,10/13/2025,NEAR-USDT,okx,15669787,1975861,0.000397955,31290.88,27542.41,52714.27,41316.2,75887.63,61628.3
10/14/2025,10/14/2025,NEAR-USDT,okx,16773264,2621432,0.000355456,25005.36,19527.86,44521.42,30064.07,64249.21,43456.73
10/15/2025,10/15/2025,NEAR-USDT,okx,10375753,1220270,0.000590439,40372.79,31186.2,69592.49,46003.09,96088.42,63788.13
10/16/2025,10/16/2025,NEAR-USDT,okx,9911397,1315361,0.000322418,47679.95,35009.03,79326.13,52173.51,110158.66,73978.68
10/17/2025,10/17/2025,NEAR-USDT,okx,8914446,1555047,0.00041903,33637.56,23895.99,55942.61,36603,73152.24,50410.57
10/18/2025,10/18/2025,NEAR-USDT,okx,4783622,932746,0.000558128,59163.94,48417.86,88208.24,69965.29,111869.31,90309.88
10/19/2025,10/19/2025,NEAR-USDT,okx,8856588,1382762,0.00056559,43271.9,38088.28,67093.38,53755.79,86570.58,69764.88
10/13/2025,10/13/2025,NEAR-USDT,gate,9572707,1433593,0.000593872,11913.04,10759.86,21977.65,19540.94,26565.38,23622.06
10/14/2025,10/14/2025,NEAR-USDT,gate,5396844,584804,0.000577477,11014.82,9419.62,21707.88,19364.74,27469.21,24591.85
10/15/2025,10/15/2025,NEAR-USDT,gate,3419001,361173,0.000512534,10004.64,9174.52,18060.65,16853.29,22810.96,21520.03
10/16/2025,10/16/2025,NEAR-USDT,gate,4114563,809640,0.000478239,12250.41,11492.4,21613.65,19672.28,28549.68,25276.71
10/17/2025,10/17/2025,NEAR-USDT,gate,4042343,515869,0.000357389,11303.81,10045.7,19741.59,17745.99,25700.95,23298.58
10/18/2025,10/18/2025,NEAR-USDT,gate,1296338,256655,0.000345241,14641.57,13824.29,23238.89,21989.92,29056.64,27766.98
10/19/2025,10/19/2025,NEAR-USDT,gate,2489591,426222,0.000483072,18606.98,16942.71,31237.01,28718.95,39070.99,36046.55
