start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
11/3/2025,11/3/2025,NEAR-USDT,binance,47010393,6858172,0.000414544,31927.46,27904.78,47169.05,42605.72,62418.33,53750.14
11/4/2025,11/4/2025,NEAR-USDT,binance,62376213,7756797,0.000528572,25267.89,21837.05,37520.21,32647.33,46069.56,39415.71
11/5/2025,11/5/2025,NEAR-USDT,binance,34570000,4785893,0.000322757,45830.21,36950.43,68509.79,57622.49,88190.53,76549.63
11/6/2025,11/6/2025,NEAR-USDT,binance,69580758,8902963,0.000338918,45881.44,34175.76,68533.43,52130.17,95164.91,72779.43
11/7/2025,11/7/2025,NEAR-USDT,binance,281242738,38975905,0.000381503,30524.1,24173.84,49383.04,39475.66,72951.71,60424.45
11/8/2025,11/8/2025,NEAR-USDT,binance,243055747,26754486,0.000454936,41002.27,34580.83,72115.39,58296.49,105254.87,83559.24
11/9/2025,11/9/2025,NEAR-USDT,binance,185798566,9507597,0.00035554,27252.86,25608.95,46111.96,41159.92,68609.26,57604.22
11/3/2025,11/3/2025,NEAR-USDT,bybit,8001955,857421,0.000357171,22381.72,14018.22,33730.4,20657.93,51831.93,33403.79
11/4/2025,11/4/2025,NEAR-USDT,bybit,10757328,1264313,0.000542934,19927.8,13615.06,35539.9,22102.66,54453.24,36042.09
11/5/2025,11/5/2025,NEAR-USDT,bybit,5777919,996024,0.000377558,26682.69,15226.29,39992.18,23249.49,60333.9,39429.85
11/6/2025,11/6/2025,NEAR-USDT,bybit,10929490,1100832,0.000445832,27446.82,15621.67,42523.07,23691.9,65767.08,40866.77
11/7/2025,11/7/2025,NEAR-USDT,bybit,64054566,12695328,0.000536696,23828.88,16059.98,40246.03,24969.1,63169.88,39505.33
11/8/2025,11/8/2025,NEAR-USDT,bybit,46931601,6220864,0.00034853,19587.62,13819.74,32825.4,21823.94,41680.17,25975.5
11/9/2025,11/9/2025,NEAR-USDT,bybit,32251648,4054275,0.000456207,16504.1,10740.47,29027.87,18266.27,36704.13,22690.54
11/3/2025,11/3/2025,NEAR-USDT,okx,11331645,2256938,0.000500083,29621.64,18245.38,48234.42,27559.87,64458.42,38323.44
11/4/2025,11/4/2025,NEAR-USDT,okx,10239164,1257800,0.00054882,30563.38,18484.23,53290.7,29923.17,69848.07,39992.91
11/5/2025,11/5/2025,NEAR-USDT,okx,6669455,833313,0.000535405,45657.98,27735.66,73350.22,43851.18,93541.59,59147.55
11/6/2025,11/6/2025,NEAR-USDT,okx,12561296,1415126,0.000553511,49532.04,31621.45,83721.07,45664.8,109096.37,61367.83
11/7/2025,11/7/2025,NEAR-USDT,okx,45653477,6464731,0.000403452,40088.5,27414.9,80410.88,42027,121831.61,63215
11/8/2025,11/8/2025,NEAR-USDT,okx,37899630,6962396,0.000427831,45616.13,35544.22,91233.64,63825.31,133296.23,90781.6
11/9/2025,11/9/2025,NEAR-USDT,okx,32487479,6133834,0.000320923,23565.22,18335.37,49058.67,33893.04,69568.89,47071.5
11/3/2025,11/3/2025,NEAR-USDT,gate,5784466,615533,0.000502264,9573.77,7198.35,16683.75,13912.87,22069.93,19808.51
11/4/2025,11/4/2025,NEAR-USDT,gate,5702386,598077,0.000432546,9158.49,7326.84,17267.33,14354.87,24893.27,22122.3
11/5/2025,11/5/2025,NEAR-USDT,gate,3089705,523343,0.000436769,8553.7,7405.5,15128.89,13648.96,20976.38,19035.57
11/6/2025,11/6/2025,NEAR-USDT,gate,6269190,668106,0.000377042,10564.49,9046.14,19001.41,16615.04,26844.25,24124.13
11/7/2025,11/7/2025,NEAR-USDT,gate,24730620,4192426,0.000444035,6601.23,5292.74,11945.39,10014.59,17683.26,15539.57
11/8/2025,11/8/2025,NEAR-USDT,gate,20986063,4017256,0.000578179,8689.39,7264.05,14198.85,12687.53,19699.82,18722
11/9/2025,11/9/2025,NEAR-USDT,gate,20008445,2323475,0.000421859,6643.64,5692.93,11068.23,10557.56,15132.89,15598.35
