start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
8/4/2025,8/4/2025,NEAR-USDT,binance,18921340,1265818,0.000374015,57773.48,54790.11,83334.12,76909.68,111346.53,102126.07
8/5/2025,8/5/2025,NEAR-USDT,binance,25940219,2588909,0.000362443,59597.42,57108.71,89027.2,82282.19,120197.26,108281.37
8/6/2025,8/6/2025,NEAR-USDT,binance,21428305,1620747,0.000390585,57402.63,57083.27,86872.71,81711.14,117034.89,105589.73
8/7/2025,8/7/2025,NEAR-USDT,binance,16161320,1252111,0.000301173,39313.13,31337.28,58025.15,47934.27,79852.93,68226.65
8/8/2025,8/8/2025,NEAR-USDT,binance,29631044,2372623,0.000494068,56634.56,52294.46,85131.94,78662.38,117627.48,109883.54
8/9/2025,8/9/2025,NEAR-USDT,binance,22941434,2501820,0.000539594,49704.73,51087.01,71084.79,71948.49,98103.23,101456.05
8/10/2025,8/10/2025,NEAR-USDT,binance,32479181,2962934,0.000379618,56454.98,57380.36,80397.08,77726.12,109871.53,105987.55
8/4/2025,8/4/2025,NEAR-USDT,bybit,5781321,1053911,0.000483505,31888.45,28359.41,45790.75,39350.39,66388.94,59122.39
8/5/2025,8/5/2025,NEAR-USDT,bybit,5611470,922324,0.000564576,25951.92,22142.72,37826.91,30968.51,55985.53,46989.77
8/6/2025,8/6/2025,NEAR-USDT,bybit,4830655,675843,0.000439825,19616.77,17468.91,28701.13,24272.24,41651.26,36466.67
8/7/2025,8/7/2025,NEAR-USDT,bybit,4494590,874222,0.000553006,16306.41,15168.51,24205.54,21449.32,33735.1,29983.72
8/8/2025,8/8/2025,NEAR-USDT,bybit,9580424,1817558,0.000400307,20242.86,18211,30818.92,27138.22,38000.37,34326.78
8/9/2025,8/9/2025,NEAR-USDT,bybit,7573962,1083913,0.000454228,23461.21,21673.31,35070.16,30991.68,42248.56,36372.13
8/10/2025,8/10/2025,NEAR-USDT,bybit,8821169,1431650,0.000376272,28725.15,27392.05,41307.82,38168.09,52037.42,44466.63
8/4/2025,8/4/2025,NEAR-USDT,okx,2861781,482479,0.000477211,39861.84,33560.71,53597.66,44575.3,70404.44,60349.53
8/5/2025,8/5/2025,NEAR-USDT,okx,5167053,786658,0.000407608,44997.81,41150.06,61449.49,53792.36,81517.09,71509.77
8/6/2025,8/6/2025,NEAR-USDT,okx,2620211,313915,0.000310507,27639.9,25685.51,37593.99,33403.6,49501.89,44392.48
8/7/2025,8/7/2025,NEAR-USDT,okx,2836943,385623,0.000460865,47055.53,40203.63,64236.5,53134.06,84408.01,71303.35
8/8/2025,8/8/2025,NEAR-USDT,okx,17647258,3042808,0.000425726,37260.41,29638.6,50942.07,40209.76,66761.75,54897.69
8/9/2025,8/9/2025,NEAR-USDT,okx,8366293,1111142,0.000498868,43348.77,43818.41,58447.97,57547.21,76867.41,74427.12
8/10/2025,8/10/2025,NEAR-USDT,okx,7888784,1449025,0.00054314,35292.44,33210.39,45663.95,42605.07,59153.41,54803.6
8/4/2025,8/4/2025,NEAR-USDT,gate,1222007,204154,0.000577196,13046.72,9865.79,21016.37,16363.45,25035.75,19960.64
8/5/2025,8/5/2025,NEAR-USDT,gate,1231283,185536,0.000319873,15034.81,10759.96,24300.44,18252.64,29008.8,22046.68
8/6/2025,8/6/2025,NEAR-USDT,gate,1128149,145655,0.000408507,10273.07,7503.92,16667.32,12684.93,19480.5,15536.32
8/7/2025,8/7/2025,NEAR-USDT,gate,1310038,227896,0.000328616,9507.52,8485.34,15939.16,13872.86,18810.61,16944.56
8/8/2025,8/8/2025,NEAR-USDT,gate,17418045,2212868,0.000536965,15217.17,12547.1,24302.88,20744.46,28866.88,25848.59
8/9/2025,8/9/2025,NEAR-USDT,gate,4709720,541436,0.000465445,18321.47,18316.66,28516.92,28358.35,34072.15,33419.09
8/10/2025,8/10/2025,NEAR-USDT,gate,7077152,1077282,0.000377904,11380.38,11687.88,17397.42,17801.78,20703.63,20948.67
