start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
12/29/2025,12/29/2025,NEAR-USDT,binance,20445971,2458546,0.000338757,76011.16,60771.05,153075.51,110067.4,249893.74,179497.66
12/30/2025,12/30/2025,NEAR-USDT,binance,12445802,1260435,0.000469322,53453.21,41106.17,97738.37,67403.18,151334.79,110290.15
12/31/2025,12/31/2025,NEAR-USDT,binance,12345187,1371465,0.000428633,82021.3,61483.54,155663.38,103268.31,234414.69,165806.23
1/1/2026,1/1/2026,NEAR-USDT,binance,18122812,1017201,0.000306665,75084.12,54953.56,142955.93,97891.21,215966.13,161329.31
1/2/2026,1/2/2026,NEAR-USDT,binance,24652429,1367792,0.000394933,68197.82,53506.35,140776.62,99870.03,225067.27,160305
1/3/2026,1/3/2026,NEAR-USDT,binance,14990303,1378222,0.000420943,49402.71,49373.26,101355.05,86572.19,150494.2,127504.24
1/4/2026,1/4/2026,NEAR-USDT,binance,16979108,2254609,0.00038335,52191.2,53033.17,99567.65,85756.63,155868.25,129654.2
12/29/2025,12/29/2025,NEAR-USDT,bybit,3793616,543759,0.000342018,21885.5,16261.25,34268.18,24854.05,59250.87,47083.4
12/30/2025,12/30/2025,NEAR-USDT,bybit,3398362,641500,0.000440263,29461.53,20030.98,41056.74,27020.91,69144.61,53286.31
12/31/2025,12/31/2025,NEAR-USDT,bybit,4522561,512121,0.000531197,20410.68,13956.58,29545.27,19365.52,48830.03,35741.93
1/1/2026,1/1/2026,NEAR-USDT,bybit,6186916,1005861,0.000514769,27327.14,20348.19,41197.85,28873.82,69346.86,53776.74
1/2/2026,1/2/2026,NEAR-USDT,bybit,6419506,1084521,0.00040546,31421.08,23391.86,54619.04,37212.98,93973.25,73553.65
1/3/2026,1/3/2026,NEAR-USDT,bybit,3978595,462974,0.00035823,30297.79,21425.56,44669.79,33063.06,68893.79,55475.1
1/4/2026,1/4/2026,NEAR-USDT,bybit,5180353,980453,0.000391762,39223.65,28154.89,64936.98,40610.48,140316.3,72505.88
12/29/2025,12/29/2025,NEAR-USDT,okx,3049187,592380,0.000503662,41766.45,33092.37,63743.54,48746.08,105696.51,80488.94
12/30/2025,12/30/2025,NEAR-USDT,okx,1947354,308920,0.000351597,52942.32,39091.82,74901.89,53961.46,119069.65,90628.84
12/31/2025,12/31/2025,NEAR-USDT,okx,1955768,205499,0.000423757,43158.34,30731.69,61959.55,42612.12,94462.53,68573.52
1/1/2026,1/1/2026,NEAR-USDT,okx,2304198,358080,0.000441891,45797.18,29428.12,67299.1,42106.54,103079.36,70829.92
1/2/2026,1/2/2026,NEAR-USDT,okx,3164377,388657,0.000408761,31780.31,22780.31,51763.51,37226.92,86266.28,66725.87
1/3/2026,1/3/2026,NEAR-USDT,okx,2311279,307218,0.000419308,39172.02,32714.34,61206.94,53539.02,93457.55,82246.05
1/4/2026,1/4/2026,NEAR-USDT,okx,3090429,505337,0.000416725,46987.8,34421.61,66797.86,52477.52,103860.17,81837.73
12/29/2025,12/29/2025,NEAR-USDT,gate,2143624,233264,0.000391191,12719.98,10121.12,21479.85,19254.13,29917.78,27184.75
12/30/2025,12/30/2025,NEAR-USDT,gate,1263062,179423,0.00030177,12715.76,9791.86,20983.75,17624.48,28453.41,26508.76
12/31/2025,12/31/2025,NEAR-USDT,gate,1231065,201766,0.000583588,10481.56,7746.05,17598.53,14379.01,24440.6,21232.86
1/1/2026,1/1/2026,NEAR-USDT,gate,1554529,155787,0.000501205,7814.7,6042.52,13455.27,10869.4,18190.62,16057.45
1/2/2026,1/2/2026,NEAR-USDT,gate,1727707,190320,0.000563177,7440.71,6089.39,13731.75,12121.72,19781.39,17494.77
1/3/2026,1/3/2026,NEAR-USDT,gate,1445502,157285,0.000502498,4494.65,3107.62,6878.09,5258.34,12779.73,10692.28
1/4/2026,1/4/2026,NEAR-USDT,gate,2067494,268709,0.00056891,4665.44,3789.08,7496.8,6794.52,12212.89,11651.39
