start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
11/10/2025,11/10/2025,NEAR-USDT,binance,138005413,13394476,0.000587226,33459.03,29488.62,59506.61,49424.99,88263.33,72330.75
11/11/2025,11/11/2025,NEAR-USDT,binance,73169674,4105812,0.000459285,47850.47,44724.34,79423.36,67621.01,114056.86,90367.35
11/12/2025,11/12/2025,NEAR-USDT,binance,45549675,4868415,0.000315637,50135.02,48658.73,82108.45,73565.01,118051.36,102038.63
11/13/2025,11/13/2025,NEAR-USDT,binance,38975405,3997045,0.000508355,48338.24,46247.25,81160,71727.68,119444.12,99914.29
11/14/2025,11/14/2025,NEAR-USDT,binance,48419971,4928305,0.000396982,50244.72,48618.84,89021.06,78387.89,128210.67,114399.47
11/15/2025,11/15/2025,NEAR-USDT,binance,58685672,7656856,0.000439301,52784.45,52255.35,82529.01,79974.21,117403.7,109122.28
11/16/2025,11/16/2025,NEAR-USDT,binance,64947895,4718091,0.000392057,41448.04,31655.5,66516.6,51223.87,99969.27,77596.63
11/10/2025,11/10/2025,NEAR-USDT,bybit,29433267,5496411,0.000544535,14133.25,8284.61,24835.42,13891.44,30578.25,16367.72
11/11/2025,11/11/2025,NEAR-USDT,bybit,16106476,1916650,0.000369018,25480.96,15573.53,43291.83,23476.02,53209.48,28889.16
11/12/2025,11/12/2025,NEAR-USDT,bybit,11344832,1677823,0.000335449,25195.14,14628.72,41252.75,21467.53,53232.63,28912.31
11/13/2025,11/13/2025,NEAR-USDT,bybit,10773391,2067054,0.000494225,21173.27,12487.22,32534.83,17303.31,44263.22,23458.78
11/14/2025,11/14/2025,NEAR-USDT,bybit,15105184,2871821,0.000540335,22777.16,13989.65,35970.11,22293.08,51465.22,34294.31
11/15/2025,11/15/2025,NEAR-USDT,bybit,10355389,1094447,0.00040525,15825.55,9971.67,25826.6,17623.24,39715.38,28236.69
11/16/2025,11/16/2025,NEAR-USDT,bybit,12891863,2546558,0.000503487,17761.5,9868.14,28773.22,18712.48,47635.9,33364.65
11/10/2025,11/10/2025,NEAR-USDT,okx,20996046,3904730,0.000561142,32612.6,21704.98,64378.62,39412.77,93385.61,58977.53
11/11/2025,11/11/2025,NEAR-USDT,okx,12669912,1288961,0.000460256,44819.69,30324.29,79024.42,50057.36,107637.28,69782.37
11/12/2025,11/12/2025,NEAR-USDT,okx,11005474,1575012,0.000431757,38708.15,27255.2,67745.68,41852.75,92129.14,58127.3
11/13/2025,11/13/2025,NEAR-USDT,okx,12204373,1618795,0.000476584,28797.16,21350.01,48544.77,32550.21,66712.16,44793.27
11/14/2025,11/14/2025,NEAR-USDT,okx,12376189,1361590,0.000540006,26437.3,20625.99,45619.36,34816.59,67202.73,52330.67
11/15/2025,11/15/2025,NEAR-USDT,okx,10080871,1243700,0.000352143,44531.06,42837.37,80003.75,73044.39,124449.33,107882.57
11/16/2025,11/16/2025,NEAR-USDT,okx,11793545,1567575,0.000500077,43514.71,36700.35,80085.45,69227.27,126310.01,108298.96
11/10/2025,11/10/2025,NEAR-USDT,gate,14181892,2218694,0.000324715,8896.73,7927.12,13964.42,14331.92,17985.14,20125.17
11/11/2025,11/11/2025,NEAR-USDT,gate,7137728,1011287,0.00031776,9978.6,10774.67,16376.66,18918.11,20621.59,23809
11/12/2025,11/12/2025,NEAR-USDT,gate,4440925,883612,0.000300221,7509.76,8387.64,10767.91,13627.51,12156.19,15834.06
11/13/2025,11/13/2025,NEAR-USDT,gate,3846316,745330,0.000309565,13104.65,16121.8,18146.22,25805.46,21145.13,30272.81
11/14/2025,11/14/2025,NEAR-USDT,gate,6509407,715436,0.000369159,13042.91,12966.63,18857.11,20897.28,22363.71,26105.1
11/15/2025,11/15/2025,NEAR-USDT,gate,7263596,1270002,0.000461729,8847.94,9315.17,12579.02,14294.32,14614.65,17555.91
11/16/2025,11/16/2025,NEAR-USDT,gate,9558656,1373321,0.000366453,10046.18,9783.37,15486.41,15968.95,19157.78,20509.4
