start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
08/18/2025,08/18/2025,NEAR-USDT,binance,36597605,2042554,0.00030988,65600.01,74737.42,101428.62,106344.25,145849.37,138331.28
08/19/2025,08/19/2025,NEAR-USDT,binance,29119730,3318765,0.000464272,75282.01,64732.59,108210.86,92723.73,159208.45,122154.98
08/20/2025,08/20/2025,NEAR-USDT,binance,24585097,1890537,0.000598395,71681.95,66608.85,104291.3,94848.37,150316.6,126627
08/21/2025,08/21/2025,NEAR-USDT,binance,16029094,866802,0.000378961,49598.46,36881.53,69292.04,54277.71,95581.7,74198.77
08/22/2025,08/22/2025,NEAR-USDT,binance,50106079,6327827,0.000361267,72196.87,64102.1,103853.43,96456.52,145430.87,135358.41
08/23/2025,08/23/2025,NEAR-USDT,binance,19600297,1166737,0.000533729,49226.55,51461.2,70682.9,71101.3,94665.66,94071.96
08/24/2025,08/24/2025,NEAR-USDT,binance,39892143,4883422,0.000339913,75684.31,70787.47,110633.52,105106.68,147496.71,139888
08/18/2025,08/18/2025,NEAR-USDT,bybit,13301679,1978776,0.000471183,27543.58,24898.96,41690.27,35279.62,68010.44,46733.24
08/19/2025,08/19/2025,NEAR-USDT,bybit,7847258,1111495,0.000318847,16158.1,14703.59,23723.78,20402.77,42653.21,30240.72
08/20/2025,08/20/2025,NEAR-USDT,bybit,6532037,1135008,0.000372799,19114.95,17560.09,28461.03,24653.92,51981.21,37485.32
08/21/2025,08/21/2025,NEAR-USDT,bybit,6353803,638723,0.000348266,16104.56,14705.82,23984.94,20838.87,42507.7,31206.4
08/22/2025,08/22/2025,NEAR-USDT,bybit,11054173,1164814,0.000400014,26657.4,26153.1,39533.42,37179.44,71621.33,51294.31
08/23/2025,08/23/2025,NEAR-USDT,bybit,5232302,768782,0.000398318,25288.49,25873.01,37319.72,37085.65,57062.85,44434.12
08/24/2025,08/24/2025,NEAR-USDT,bybit,7916961,1299727,0.000344969,21921.6,22736.08,33834.74,33445.67,52065.44,41982.31
08/18/2025,08/18/2025,NEAR-USDT,okx,7304261,908047,0.000568672,35793.51,30596.23,49084.49,42078.77,65461.15,58718.65
08/19/2025,08/19/2025,NEAR-USDT,okx,3721714,509390,0.000598792,34887.55,28430.98,46767.12,38178.16,62053.29,53436.24
08/20/2025,08/20/2025,NEAR-USDT,okx,4263250,466649,0.000466972,34910.66,28683.98,47389.08,38237.33,63656.91,53682.32
08/21/2025,08/21/2025,NEAR-USDT,okx,2348431,383340,0.000554607,29181.53,24429.71,39473.58,32744.93,53715.47,45702.49
08/22/2025,08/22/2025,NEAR-USDT,okx,5530406,866370,0.00037791,32620.66,25924.6,45272.37,35872.25,62446.34,50997.22
08/23/2025,08/23/2025,NEAR-USDT,okx,4076956,560779,0.000361033,37714.36,33209.4,50240.26,45983.21,67121.89,62666.3
08/24/2025,08/24/2025,NEAR-USDT,okx,4479979,748054,0.000368636,32450.24,30110.11,45101.62,41159.27,62824.03,57105.88
08/18/2025,08/18/2025,NEAR-USDT,gate,5249770,806185,0.000386511,10079.4,9473.01,14792.26,14346.69,17359.51,17133.6
08/19/2025,08/19/2025,NEAR-USDT,gate,3621092,707888,0.000383316,15170.9,14543.14,22356.75,21376.02,25794.3,25098.02
08/20/2025,08/20/2025,NEAR-USDT,gate,3238965,462181,0.000396716,13936.7,11346.92,20315.45,16858.61,24520.05,19827.91
08/21/2025,08/21/2025,NEAR-USDT,gate,2313735,387783,0.000406518,18885.02,18292.46,26658.06,25666.42,31289.28,30134.43
08/22/2025,08/22/2025,NEAR-USDT,gate,4719149,921217,0.000559712,11098.73,10461.19,16457.99,14905.39,20262.46,17559.6
08/23/2025,08/23/2025,NEAR-USDT,gate,2525571,281406,0.000506889,21244.19,19306.38,29954.54,26838.24,34399.36,30281.84
08/24/2025,08/24/2025,NEAR-USDT,gate,5502187,665417,0.000339205,13922.61,12537.71,20565.95,18700.31,25061.03,23007.12
