start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
9/8/2025,9/8/2025,NEAR-USDT,binance,19795724,2647276,0.000303855,78915.81,74009,109704.19,107010.23,153246.82,158891.04
9/9/2025,9/9/2025,NEAR-USDT,binance,56663651,4683170,0.000420988,54336.09,54956,79560.73,78084.35,111033.31,110749.12
9/10/2025,9/10/2025,NEAR-USDT,binance,29366377,2959916,0.000338336,72249.8,67174.71,107955.62,100400.64,151161.05,147944.61
9/11/2025,9/11/2025,NEAR-USDT,binance,31644864,3557492,0.000438605,81500.83,75877.85,117919.4,110443.36,170535.3,164775.81
9/12/2025,9/12/2025,NEAR-USDT,binance,28227610,3666020,0.000440635,91289.62,95677.22,130536.05,130296.97,192067.72,188419.64
09/13/2025,09/13/2025,NEAR-USDT,binance,33986991,2562668,0.000584364,73224.25,67462.89,107767.51,99527.9,149147.31,145626.74
09/14/2025,09/14/2025,NEAR-USDT,binance,20151146,1629374,0.000543547,40634.44,36776.38,65336.04,54923.71,94094.75,77082.11
9/8/2025,9/8/2025,NEAR-USDT,bybit,4787516,748562,0.000495694,16060.51,14635.9,22831.43,20633.79,40763.87,30495.14
9/9/2025,9/9/2025,NEAR-USDT,bybit,9403035,1846469,0.000440423,23069.16,21124.89,34174.6,30947.71,47485.13,38931.25
9/10/2025,9/10/2025,NEAR-USDT,bybit,5441224,987558,0.000320347,29110.09,26181.41,42614.02,37501.96,50724.11,46174.52
9/11/2025,9/11/2025,NEAR-USDT,bybit,5550921,953435,0.000357709,25961.2,22414.92,35942.09,30094.86,41143.44,35650.6
9/12/2025,9/12/2025,NEAR-USDT,bybit,13929798,1490430,0.000472323,27491,22946.65,36597.37,30841.39,40700.84,35945.51
09/13/2025,09/13/2025,NEAR-USDT,bybit,7611066,980284,0.000421103,36537.39,34476.82,51724.14,49518.76,58270.1,55872.71
09/14/2025,09/14/2025,NEAR-USDT,bybit,4211552,672629,0.000413647,29013.95,26531.9,39939,36265.92,45555.91,40564.64
9/8/2025,9/8/2025,NEAR-USDT,okx,4308453,441155,0.000429786,36825.14,29273.2,49203.6,40074.03,65774.48,56596.21
9/9/2025,9/9/2025,NEAR-USDT,okx,8781022,1663752,0.000481355,27728.92,23851.93,38192.22,33537.62,51713.23,47045.17
9/10/2025,9/10/2025,NEAR-USDT,okx,5094347,998014,0.000381452,39476.55,34353.05,56303.92,47591.09,77883.74,67817.64
9/11/2025,9/11/2025,NEAR-USDT,okx,4678214,842256,0.000352294,29150.52,22868.36,39661.01,31337.63,54988.39,46126.53
9/12/2025,9/12/2025,NEAR-USDT,okx,8027715,1277477,0.000462216,33104.29,30071.17,45269.37,40248.36,62937.92,56658.61
09/13/2025,09/13/2025,NEAR-USDT,okx,8055188,1450707,0.000417723,48834.42,48704.4,66337.37,65005.1,89215.09,87001.28
09/14/2025,09/14/2025,NEAR-USDT,okx,2988600,443614,0.000441035,43517.52,43634.64,57846.14,57403.22,78260.29,76837.31
9/8/2025,9/8/2025,NEAR-USDT,gate,2308143,284213,0.00038722,23514.6,21523.95,34226.72,32225.04,39670.57,37966.09
9/9/2025,9/9/2025,NEAR-USDT,gate,6128183,1020201,0.000581524,13610.76,12878.41,20591.97,19931.62,24264.09,23478.49
9/10/2025,9/10/2025,NEAR-USDT,gate,4128081,724201,0.000390035,20300.93,17928.88,29944.61,26757.62,35727.94,32212.17
9/11/2025,9/11/2025,NEAR-USDT,gate,4937752,931360,0.000349301,23480.9,19132.88,33543.02,27853.88,40017.13,34008.45
9/12/2025,9/12/2025,NEAR-USDT,gate,4619576,804446,0.00050576,20162.29,17431.56,28004.32,25157.41,32368.78,30145.87
09/13/2025,09/13/2025,NEAR-USDT,gate,7776244,1393338,0.000415876,12905.34,13417,19939.37,19247.56,26582.82,22641.65
09/14/2025,09/14/2025,NEAR-USDT,gate,4579976,913839,0.00030099,15345.2,15291.83,21866.94,22598.79,26091.41,26854.95
