start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
08/25/2025,08/25/2025,NEAR-USDT,binance,39738795,2301026,0.000325907,64462.43,62643.73,98447.53,100234.52,136532.34,129678.35
08/26/2025,08/26/2025,NEAR-USDT,binance,26153121,2504892,0.000557311,31608.92,35034.7,46878.33,57593.21,65709.08,74842.94
08/27/2025,08/27/2025,NEAR-USDT,binance,24123941,1875010,0.000301186,59053.92,52211.21,90731.67,77111.16,126975.12,109657.24
08/28/2025,08/28/2025,NEAR-USDT,binance,22913261,2192679,0.000446365,49053.53,47563.11,72724.59,67058.12,100062.31,93102.8
08/29/2025,08/29/2025,NEAR-USDT,binance,34743930,4339545,0.000478172,64586.42,62638.83,93567.41,89253.73,129532.92,122196.31
08/30/2025,08/30/2025,NEAR-USDT,binance,8846263,1037430,0.000589175,44241.32,47056.37,65284.44,66617.54,89723.49,92412.14
08/31/2025,08/31/2025,NEAR-USDT,binance,13608771,938543,0.000549933,44243.4,42686.75,64176.85,60227.74,88499.43,82506.85
08/25/2025,08/25/2025,NEAR-USDT,bybit,10044522,1790741,0.000399438,20386.7,19682.54,30629.55,27797.82,53689.11,39373.38
08/26/2025,08/26/2025,NEAR-USDT,bybit,6247135,1093373,0.000392328,22386.34,20913.62,32824.53,29681.55,58920.43,44753.57
08/27/2025,08/27/2025,NEAR-USDT,bybit,8467220,1094631,0.000401568,21421.08,21521.67,31058.3,29791.96,55367.74,45434.28
08/28/2025,08/28/2025,NEAR-USDT,bybit,5430614,1042928,0.000368011,20323.98,20366.7,28568.94,27542.1,52872.28,42892.22
08/29/2025,08/29/2025,NEAR-USDT,bybit,8513330,1017225,0.000362527,20263.29,19816.41,29996.34,27919.51,55573.39,42368.38
08/30/2025,08/30/2025,NEAR-USDT,bybit,2604543,306247,0.000318523,22559.46,23561.29,32374.88,32400.09,60755.24,47463.39
08/31/2025,08/31/2025,NEAR-USDT,bybit,2239385,333804,0.000382235,14568.46,15612.73,21348.99,21823.26,40212.02,32666.33
08/25/2025,08/25/2025,NEAR-USDT,okx,5063375,827498,0.000437049,31911.41,25546.81,43610.57,33868.79,59426.13,47074.66
08/26/2025,08/26/2025,NEAR-USDT,okx,3712522,548454,0.000436132,35385.65,29682.84,47769.37,39385.57,64189.3,54650.7
08/27/2025,08/27/2025,NEAR-USDT,okx,4345369,601845,0.000388707,25373.73,21249.72,34702.25,27869.69,48231.7,40368.47
08/28/2025,08/28/2025,NEAR-USDT,okx,4374510,799600,0.000426792,30120.25,26253.22,40591.84,34441.58,54509.65,48002.92
08/29/2025,08/29/2025,NEAR-USDT,okx,6416160,894617,0.000442056,23872.85,23374.11,32910.1,31082.35,44201.99,41335.54
08/30/2025,08/30/2025,NEAR-USDT,okx,2525905,476881,0.000485797,46244.82,45592.69,60664.68,58665.93,79929.49,75962.06
08/31/2025,08/31/2025,NEAR-USDT,okx,1920390,350579,0.000384722,31644.48,30981.6,42124.19,40239.58,55885.7,52251.71
08/25/2025,08/25/2025,NEAR-USDT,gate,6395878,1172278,0.000443891,17078.37,14425.87,25451.16,21634.44,29601.76,25742.64
08/26/2025,08/26/2025,NEAR-USDT,gate,6315870,947477,0.000504396,13393.75,11558.44,19778.19,16613.31,22947.27,19298
08/27/2025,08/27/2025,NEAR-USDT,gate,4689849,913141,0.000437954,14347.26,13220.66,21791.87,20080.63,27333.61,25230.49
08/28/2025,08/28/2025,NEAR-USDT,gate,3369398,390902,0.000515656,19411.2,18788.83,28025.15,26327.67,31677.1,30845.79
08/29/2025,08/29/2025,NEAR-USDT,gate,3832016,706330,0.000495556,21810.98,19170.84,32671.75,29133.19,37861.67,34437.43
08/30/2025,08/30/2025,NEAR-USDT,gate,1596274,305748,0.000475626,24102.67,20913.11,34082.48,30100.16,38024.28,33410.25
08/31/2025,08/31/2025,NEAR-USDT,gate,1551678,168994,0.000565342,18945.51,16741.01,25627.58,24091.09,28480.14,26899.12
