start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
09/15/2025,09/15/2025,NEAR-USDT,binance,34471510,4498114,0.000458625,46237.17,42048.74,72431.18,65504.62,103430.28,89830.63
09/16/2025,09/16/2025,NEAR-USDT,binance,27331698,2424076,0.000391908,74753.7,68961.73,115692.51,104470.56,162403.43,153323.97
09/17/2025,09/17/2025,NEAR-USDT,binance,38741966,2788773,0.000433232,65142.84,58503.21,107041.25,92984.6,150976.62,139367.22
09/18/2025,09/18/2025,NEAR-USDT,binance,96452074,10329857,0.000493228,76171.6,74199.92,123892.36,122844.2,171503.67,185154.45
09/19/2025,09/19/2025,NEAR-USDT,binance,108655288,14909145,0.000307045,61183.45,52247.54,101366.7,80997.68,150573.04,119734.69
09/20/2025,09/20/2025,NEAR-USDT,binance,57351462,8553908,0.000382582,47960.44,45444.04,74727.39,68420.46,107829.53,94807.3
09/21/2025,09/21/2025,NEAR-USDT,binance,25673070,3092891,0.000412884,65299.14,61399.57,101623.25,88310.08,151589.64,125143.89
09/15/2025,09/15/2025,NEAR-USDT,bybit,9243438,1446859,0.000404978,28536.11,25360.29,41644.19,35237.36,51670.39,43787.22
09/16/2025,09/16/2025,NEAR-USDT,bybit,6491322,1197654,0.000317678,18878.97,16335.97,27108.88,23161.12,32736.75,28247.73
09/17/2025,09/17/2025,NEAR-USDT,bybit,7451576,1336671,0.000398654,19369.5,16453.2,28356.25,23402.26,33749.39,27652.47
09/18/2025,09/18/2025,NEAR-USDT,bybit,22137327,3037840,0.000481043,18583.18,16288.08,28641.69,23474.11,33061.78,27708
09/19/2025,09/19/2025,NEAR-USDT,bybit,17618754,1866984,0.000413406,22506.52,20020.27,34501.81,28759.02,39486.26,31937.18
09/20/2025,09/20/2025,NEAR-USDT,bybit,11109585,1890192,0.000543485,24314.76,23038.78,34745.65,31240.51,39520.17,34179.79
09/21/2025,09/21/2025,NEAR-USDT,bybit,5377891,740069,0.000376492,31769.62,30154.4,43006.84,39630.25,47947.51,43198.08
09/15/2025,09/15/2025,NEAR-USDT,okx,7441688,1189986,0.00031244,30667.73,29513.01,41117.79,38858.23,55558.45,52563.59
09/16/2025,09/16/2025,NEAR-USDT,okx,4360389,667202,0.000456058,40534.36,36525.38,54391.63,49079.54,74010.72,68535.86
09/17/2025,09/17/2025,NEAR-USDT,okx,6068698,962369,0.00034696,44369.19,36692.38,59110.31,49108.48,79887.6,68736.34
09/18/2025,09/18/2025,NEAR-USDT,okx,15709615,2463964,0.000441944,27471.58,23075.25,38392.96,32908.6,55231.5,50178.5
09/19/2025,09/19/2025,NEAR-USDT,okx,18490950,2728303,0.000560009,42053.65,32446.97,61150.21,48088.94,87630.82,72442.59
09/20/2025,09/20/2025,NEAR-USDT,okx,9253346,1330050,0.000424706,30529.01,26230.23,43567.94,38346.45,63114.46,55133.16
09/21/2025,09/21/2025,NEAR-USDT,okx,3978385,455469,0.000563801,51140.64,46674.36,70841.53,65708.5,100881.03,93190.47
09/15/2025,09/15/2025,NEAR-USDT,gate,5755397,814154,0.000399437,17690.1,16402.43,25796.07,24295.25,30547.95,28916.37
09/16/2025,09/16/2025,NEAR-USDT,gate,4086189,816318,0.000390454,20387.22,17417.96,29618.15,25738.37,34511.74,30763.47
09/17/2025,09/17/2025,NEAR-USDT,gate,6793396,1314720,0.000480254,21330.75,21917.15,29856.19,32059.21,34901.17,38301.5
09/18/2025,09/18/2025,NEAR-USDT,gate,14233166,1717893,0.000542338,24697.71,21919.69,33555.11,31485.46,39536.69,40554.75
09/19/2025,09/19/2025,NEAR-USDT,gate,13632770,2039862,0.000568131,27375.92,24451.13,37389.95,34678.46,42642.05,40920.53
09/20/2025,09/20/2025,NEAR-USDT,gate,9952100,1843892,0.000376609,21534.75,20778.67,29249.89,28149.45,33069.93,31788.06
09/21/2025,09/21/2025,NEAR-USDT,gate,4892369,717095,0.000470651,17060.89,17148.3,22818.56,22985.54,26167.64,25948.34
