start_date,end_date,asset_pair_symbol,exchange,total_volume_usd_dollars,market_maker_volume_usd_dollars,average_bid_ask_spread_ratio,market_maker_depth_bid_50_bps_usd_dollars,market_maker_depth_ask_50_bps_usd_dollars,market_maker_depth_bid_100_bps_usd_dollars,market_maker_depth_ask_100_bps_usd_dollars,market_maker_depth_bid_200_bps_usd_dollars,market_maker_depth_ask_200_bps_usd_dollars
10/20/2025,10/20/2025,NEAR-USDT,binance,28311900,2627725,0.00058799,45455.15,38897.66,66039.92,58271.03,89579,81608.55
10/21/2025,10/21/2025,NEAR-USDT,binance,36572428,3904345,0.000489663,69175.07,54209.24,101570.95,79322.95,137457.83,110590.74
10/22/2025,10/22/2025,NEAR-USDT,binance,34208566,2976601,0.000350074,44271.99,38283.35,69396.24,59333.34,102881.8,86485.69
10/23/2025,10/23/2025,NEAR-USDT,binance,28007794,3087966,0.000309975,46745.01,39712.9,72577.09,58710.1,97855.07,84019.16
10/24/2025,10/24/2025,NEAR-USDT,binance,22070825,3261171,0.000317304,49063.48,38596.64,83652.66,58613.8,119248.52,88535.14
10/25/2025,10/25/2025,NEAR-USDT,binance,13437376,779207,0.000414129,48071.93,44152.24,73320.39,67584.52,110051.48,101941.77
10/26/2025,10/26/2025,NEAR-USDT,binance,23201664,1831685,0.000349792,34996.49,26217.26,48492.91,40192.59,64501.37,56622.64
10/20/2025,10/20/2025,NEAR-USDT,bybit,5691980,877866,0.000597065,25338.74,13910.15,34082.21,19878.59,47870.58,31814.64
10/21/2025,10/21/2025,NEAR-USDT,bybit,8487766,1214782,0.000329478,23406.51,13461.64,33494.14,19440.44,48956.52,31390.6
10/22/2025,10/22/2025,NEAR-USDT,bybit,7462464,1011956,0.000461185,30397.65,17147.49,43887.49,24629.56,64918.34,39437.38
10/23/2025,10/23/2025,NEAR-USDT,bybit,4739227,548815,0.000444517,30164.56,16429.47,42440.64,24666.74,61408.59,39603.77
10/24/2025,10/24/2025,NEAR-USDT,bybit,4757920,661560,0.000459692,22476.96,12228.49,32025.56,18159.2,46214.88,29676.6
10/25/2025,10/25/2025,NEAR-USDT,bybit,2915575,435762,0.000474478,26828.92,17339.77,36459.65,25211.44,53003.19,38331.3
10/26/2025,10/26/2025,NEAR-USDT,bybit,4177041,814622,0.000348764,29626.88,18263.55,39743.65,26200.62,55963.49,40700.09
10/20/2025,10/20/2025,NEAR-USDT,okx,5850039,862145,0.000329952,36753.56,25139.43,55756.56,36467.91,71554.11,49376.3
10/21/2025,10/21/2025,NEAR-USDT,okx,7202081,958170,0.00035613,37881.48,25868.38,58658.84,37520.88,75713.3,50661.25
10/22/2025,10/22/2025,NEAR-USDT,okx,7989719,1169737,0.00032772,33325.34,23627.36,51389.03,32491.19,65988.3,43322.03
10/23/2025,10/23/2025,NEAR-USDT,okx,5990283,1044420,0.000367062,60693.47,42380.02,90903.36,59494.45,116395.8,78122.5
10/24/2025,10/24/2025,NEAR-USDT,okx,5819516,1031618,0.000393349,55775.23,33366.35,83665.09,47956.61,106155.53,66384.63
10/25/2025,10/25/2025,NEAR-USDT,okx,3927319,696318,0.000587465,42232.75,29135.39,62206.48,41691.74,79317.9,55479.83
10/26/2025,10/26/2025,NEAR-USDT,okx,4939375,969626,0.000392669,65427.16,47728.32,92692.85,65984.34,116385.98,85375.72
10/20/2025,10/20/2025,NEAR-USDT,gate,2036899,335722,0.000408068,10117.98,8827.58,16810.96,15027.45,21088.11,19029.02
10/21/2025,10/21/2025,NEAR-USDT,gate,3128440,429782,0.000344469,12466.03,10964.2,20765.89,18364.48,26708.67,23419.89
10/22/2025,10/22/2025,NEAR-USDT,gate,2366605,299379,0.000573804,9064.59,7999.79,14698.79,13795.11,19030.54,18218.35
10/23/2025,10/23/2025,NEAR-USDT,gate,1425219,218720,0.000316742,9000.65,6274.28,14666.92,11452.84,18749.63,15236.72
10/24/2025,10/24/2025,NEAR-USDT,gate,1970743,307762,0.000577777,13716.49,9239.87,22801.98,16065.05,28992.49,22008.13
10/25/2025,10/25/2025,NEAR-USDT,gate,968402,137452,0.00037577,14640.83,10867.84,24582.86,19895.18,31166.25,26391.37
10/26/2025,10/26/2025,NEAR-USDT,gate,1530517,217216,0.000514333,12689.86,10760.59,20313.94,18144.61,25385.75,23351.6
